course Name,Program,Year
LINEAR ALGEBRA,DESH-DESH,FY
CALCULUS,DESH-DESH,FY
C PROGRAMMING,DESH-DESH,FY
PYTHON,DESH-DESH,FY
APPLIED SCIENCE,DESH-DESH,FY
ELECTRICAL ENGINEERING,DESH-DESH,FY
FRENCH,DESH-DESH,FY
JAPNESE,DESH-DESH,FY
ENGINEERING DESIGN & DEVELOPMENT 1,DESH-DESH,FY
PROFESSIONAL DEVELOPMENT-1,DESH-DESH,FY
ENGINEERING MECHANICS,DESH-DESH,FY
APPLIED PHYSICS,DESH-DESH,FY
BEHAVIORAL SCIENCES,DESH-DESH,FY
SOFT SKILLS,DESH-DESH,FY
ENGINEERING DRAWING,DESH-DESH,FY
ENGINEERING DESIGN & DEVELOPMENT-2,DESH-DESH,FY
CHESS,DESH-DESH,FY
FLUTE,DESH-DESH,FY
PHOTOGRAPHY,DESH-DESH,FY
TREKKING,DESH-DESH,FY
HARDWARE & SOFTWARE WORKSHOP ,DESH-DESH,FY
MACHINING WORKSHOP ,DESH-DESH,FY
INDUCTION TRAINING,DESH-DESH,FY
ENVIRONMENTAL SCIENCE,DESH-DESH,FY
NETWORK AND INFORMATION SECURITY ,Master of Computer Application-(MCA),TY
INTERNET OF THINGS ,Master of Computer Application-(MCA),TY
MOBILE APPLICATION DEVELOPMENT ,Master of Computer Application-(MCA),TY
MECHANICAL OPERATIONS,BTech-Chemical Engineering,TY
MECHANICAL OPERATIONS,BTech-Chemical Engineering,BTech
CHEMICAL REACTION KINETICS,BTech-Chemical Engineering,BTech
DATA COMPRESSION,BTech-Electronics Engineering,TY
POWER ELECTRONICS ,BTech-Electronics Engineering,TY
DIGITAL INTEGRATED CIRCUIT DESIGN,BTech-Electronics Engineering,TY
ARTIFICIAL INTELLIGENCE ,BTech-Electronics Engineering,TY
OPERATING SYSTEMS,BTech-Computer Engineering,TY
MICROPROCESSOR & MICROCONTROLLERS,BTech-Computer Engineering,TY
SYSTEM PROGRAMMING,BTech-Computer Engineering,TY
DATABASE MANAGEMENT SYSTEMS,BTech-Computer Engineering,BTech
DATABASE MANAGEMENT SYSTEMS,BTech-Computer Engineering,TY
DISTRIBUTED ALGORITHMS,BTech-Computer Engineering,TY
FLUID FLOW OPERATIONS,BTech-Chemical Engineering,SY
PROCESS CALCULATIONS,BTech-Chemical Engineering,SY
CHEMICAL ENGINEERING THERMODYNAMICS,BTech-Chemical Engineering,SY
 NETWORK THEORY,BTech-Electronics Engineering,BTech
FLUID MECHANICS,BTech-Mechanical Engineering,SY
FLUID MECHANICS,BTech-Mechanical Engineering,BTech
SIGNALS AND SYSTEMS ,BTech-Electronics Engineering,BTech
DIFFERENTIAL EQUATIONS,BTech-Chemical Engineering,SY
DIGITAL ELECTRONICS,BTech-Electronics Engineering,BTech
STRENGTH OF MACHINE ELEMENTS,BTech-Mechanical Engineering,SY
STRENGTH OF MACHINE ELEMENTS,BTech-Mechanical Engineering,BTech
PROBABILITY AND STATISTICS ,BTech-Electronics Engineering,BTech
THEORY OF MACHINES,BTech-Industrial Engineering,SY
APPLIED THERMODYNAMICS,BTech-Mechanical Engineering,BTech
APPLIED THERMODYNAMICS,BTech-Mechanical Engineering,SY
MACHINE TOOLS & PROCESSES,BTech-Industrial Engineering,SY
METROLOGY & MECHANICAL MEASUREMENTS,BTech-Industrial Engineering,SY
MATERIAL SCIENCE,BTech-Mechanical Engineering,SY
MECHANICS OF MATERIALS,BTech-Industrial Engineering,SY
MANUFACTURING PROCESSES,BTech-Mechanical Engineering,SY
MATHEMATICS FOR ENGINEERING APPLICATIONS-I,BTech-Industrial Engineering,SY
DATA STRUCTURES,BTech-Computer Engineering,SY
AUTOMATA THEORY,BTech-Computer Engineering,BTech
DISCRETE MATHEMATICS,BTech-Computer Engineering,SY
ANALOG ELECTRONICS,BTech-Electronics Engineering,BTech
CONTROL SYSTEMS ,BTech-Electronics Engineering,BTech
ELECTRONICS COMMUNICATION,BTech-Electronics Engineering,BTech
DATA STRUCTURES & ALGORITHMS,BTech-Electronics Engineering,BTech
DISCRETE STRUCTURE AND GRAPH THEORY,BTech-Electronics Engineering,BTech
SIGNAL PROCESSING,BTech-Instrumentation and Control Engineering,SY
DATA STRUCTURES,BTech-Instrumentation and Control Engineering,SY
AUTOMATA THEORY ,BTech-Information Technology,SY
CMOS MIXED SIGNAL DESIGN,BTech-Electronics Engineering,BTech
COMPILER DESIGN,BTech-Computer Engineering,BTech
HUMAN COMPUTER INTERACTION,BTech-Computer Engineering,BTech
DATA SCIENCE,BTech-Computer Engineering,BTech
MACHINE LEARNING,BTech-Computer Engineering,BTech
DIGITAL CONTROL,BTech-Instrumentation and Control Engineering,BTech
ARTIFICIAL INTELLIGENCE,BTech-Computer Engineering,BTech
DATA STRUCTURES,BTech-Information Technology,BTech
DATABASE MANAGEMENT SYSTEMS,BTech-Information Technology,BTech
WEB TECHNOLOGIES,BTech-Information Technology,BTech
PROJECT STAGE I,BTech-Information Technology,BTech
MAJOR PROJECT 1,BTech-Electronics Engineering,BTech
ADVANCED JAVA,BTech-Information Technology,BTech
ANALOG COMMUNICATION,BTech-Electronics Engineering,TY
ANALOG COMMUNICATION,BTech-Electronics and Telecommunication Engg,SY
MINI PROJECT,BTech-Electronics Engineering,TY
MINI PROJECT,BTech-Electronics and Telecommunication Engg,SY
SIGNAL PROCESSING AND COMMUNICATION LAB,BTech-Electronics Engineering,BTech
LATEX,BTech-Electronics Engineering,BTech
SEMINAR,BTech-Electronics and Telecommunication Engg,TY
SEMINAR,BTech-Electronics and Telecommunication Engg,BTech
INDUSTRY INTERNSHIP,BTech-Instrumentation and Control Engineering,BTech
ENGINEERING LAB,BTech-Information Technology,BTech
GENERAL SEMINAR - II,BTech-Chemical Engineering,SY
GENERAL SEMINAR - II,BTech-Information Technology,BTech
HEAT TRANSFER,BTech-Information Technology,BTech
MINI PROJECT,BTech-Mechanical Engineering,TY
METROLOGY AND MEASUREMENT TECHNIQUES,BTech-Information Technology,BTech
SEMINAR,BTech-Information Technology,BTech
CHEMISTRY,BTech-Information Technology,BTech
MASS TRANSFER OPERATIONS,BTech-Chemical Engineering,BTech
CHEMICAL TECHNOLOGY,BTech-Chemical Engineering,BTech
SEPARATION TECHNIQUES,BTech-Chemical Engineering,BTech
CHEMICAL REACTION ENGINEERING,BTech-Chemical Engineering,BTech
COMPUTER PROGRAMMING,BTech-Chemical Engineering,SY
COMPUTER PROGRAMMING,BTech-Information Technology,BTech
APPLIED PROBABILITY AND STATISTICS,BTech-Information Technology,BTech
MATHEMATICAL TRANSFORMS AND APPLICATIONS,BTech-Information Technology,BTech
THEORY OF COMPUTATION,BTech-Information Technology,BTech
APPLIED ELECTRONICS,BTech-Information Technology,BTech
OPERATING SYSTEM,BTech-Computer Engineering,TY
COMPUTER NETWORK,BTech-Computer Engineering,BTech
COMPUTER NETWORK,BTech-Computer Engineering,TY
ADVANCED DATA STRUCTURES,BTech-Computer Engineering,BTech
ADVANCED DATA STRUCTURES,BTech-Computer Engineering,TY
THEORY OF COMPUTATION,BTech-Computer Engineering,BTech
THEORY OF COMPUTATION,BTech-Computer Engineering,TY
MOBILE COMPUTING,BTech-Information Technology,BTech
INFORMATION RETRIEVAL,BTech-Information Technology,BTech
SEMICONDUCTOR DEVICES AND CIRCUITS,BTech-Electronics Engineering,TY
SEMICONDUCTOR DEVICES AND CIRCUITS,BTech-Electronics and Telecommunication Engg,SY
LINEAR ALGEBRA AND STATISTICS,BTech-Electronics and Telecommunication Engg,SY
LINEAR ALGEBRA AND STATISTICS,BTech-Electronics Engineering,BTech
LINEAR ALGEBRA AND STATISTICS,BTech-Electronics Engineering,TY
SIGNAL AND SYSTEMS,BTech-Electronics and Telecommunication Engg,SY
SIGNAL AND SYSTEMS,BTech-Electronics Engineering,BTech
SIGNAL AND SYSTEMS,BTech-Electronics Engineering,TY
DIGITAL ELECTRONICS,BTech-Electronics and Telecommunication Engg,SY
DIGITAL ELECTRONICS,BTech-Electronics Engineering,SY
DATA STRUCTURE AND ALGORITHMS,BTech-Electronics and Telecommunication Engg,SY
DATA STRUCTURE AND ALGORITHMS,BTech-Electronics Engineering,BTech
DATA STRUCTURE AND ALGORITHMS,BTech-Electronics Engineering,SY
NETWORKS AND LINES,BTech-Electronics and Telecommunication Engg,SY
CONTROL SYSTEMS,BTech-Electronics and Telecommunication Engg,SY
CONTROL SYSTEMS,BTech-Electronics Engineering,BTech
MICROCONTROLLER & APPLICATIONS,BTech-Electronics and Telecommunication Engg,TY
MICROCONTROLLER & APPLICATIONS,BTech-Electronics Engineering,BTech
DIGITAL SIGNAL PROCESSING,BTech-Electronics Engineering,BTech
COMPUTER ARCHITECTURE AND OPERATING SYSTEM,BTech-Electronics Engineering,BTech
CODING & DATA COMPRESSION,BTech-Electronics Engineering,BTech
ELECTRONIC CIRCUIT DESIGN,BTech-Electronics Engineering,BTech
WIRELESS COMMUNICATION,BTech-Electronics and Telecommunication Engg,BTech
MICROWAVE ENGINEERING,BTech-Electronics Engineering,BTech
ADVANCE ALGEBRA AND ANALYTICAL GEOMETRY,BTech-Industrial Engineering,SY
ADVANCE ALGEBRA AND ANALYTICAL GEOMETRY,BTech-Chemical Engineering,BTech
ADVANCE ALGEBRA AND ANALYTICAL GEOMETRY,BTech-Information Technology,BTech
ADVANCE ALGEBRA AND ANALYTICAL GEOMETRY,BTech-Mechanical Engineering,BTech
DIFFERENTIAL AND INTEGRAL CALCULUS,BTech-Chemical Engineering,SY
DIFFERENTIAL AND INTEGRAL CALCULUS,BTech-Chemical Engineering,BTech
DIFFERENTIAL AND INTEGRAL CALCULUS,BTech-Information Technology,BTech
DIFFERENTIAL AND INTEGRAL CALCULUS,BTech-Electronics Engineering,BTech
MODERN PHYSICS,BTech-Production Engineering,SY
MODERN PHYSICS,BTech-Information Technology,BTech
ENGINEERING MECHANICS,BTech-Production Engineering,SY
ENGINEERING MECHANICS,BTech-Information Technology,BTech
ELECTRICAL TECHNOLOGY,BTech-Information Technology,BTech
QUANTITATIVE APTITUDE-1,BTech-Computer Engineering,BTech
QUANTITATIVE APTITUDE-1,BTech-Mechanical Engineering,TY
OPTIMIZATION AND SIMULATION,BTech-Industrial Engineering,BTech
MATERIAL MANAGEMENT AND LOGISTICS,BTech-Industrial Engineering,BTech
KINEMATICS AND MECHANISMS,BTech-Mechanical Engineering,SY
KINEMATICS AND MECHANISMS,BTech-Mechanical Engineering,BTech
KINEMATICS AND MECHANISMS,BTech-Information Technology,BTech
THERMAL ENGINEERING,BTech-Mechanical Engineering,SY
FLUID MACHINERY AND FLUID POWER ENGINEERING,BTech-Mechanical Engineering,TY
FLUID MACHINERY AND FLUID POWER ENGINEERING,BTech-Information Technology,BTech
MECHANICAL DESIGN,BTech-Information Technology,BTech
THEORY OF MACHINES,BTech-Information Technology,BTech
DESIGN OF MACHINE ELEMENTS,BTech-Mechanical Engineering,TY
DESIGN OF MACHINE ELEMENTS,BTech-Information Technology,BTech
INTERNAL COMBUSTION ENGINE,BTech-Mechanical Engineering,TY
THEORY OF MACHINES,BTech-Mechanical Engineering,TY
PRODUCTION TECHNOLOGY,BTech-Mechanical Engineering,TY
MECHATRONICS,BTech-Mechanical Engineering,TY
PRODUCTION METALLURGY,BTech-Mechanical Engineering,TY
HEAT TRANSFER,BTech-Mechanical Engineering,TY
FINITE ELEMENT METHOD,BTech-Mechanical Engineering,BTech
OPTIMIZATION TECHNIQUES,BTech-Information Technology,BTech
ELECTRICAL ENGINEERING,BTech-Instrumentation and Control Engineering,SY
ELECTRICAL ENGINEERING,BTech-Mechanical Engineering,FY
MINI PROJECT,BTech-Information Technology,BTech
ELECTRONIC INSTRUMENTATION AND MEASUREMENT,BTech-Electronics Engineering,SY
CHEMICAL ENGINEERING THERMODYNAMICS,BTech-Chemical Engineering,BTech
HEAT TRANSFER,BTech-Chemical Engineering,BTech
PHYSICAL AND INORGANIC CHEMISTRY,BTech-Chemical Engineering,BTech
ELECTRONIC INSTRUMENTATION AND MEASUREMENT,BTech-Electronics and Telecommunication Engg,SY
DIFFERENTIAL EQUATIONS,BTech-Chemical Engineering,BTech
COSTING & COST CONTROL,BTech-Instrumentation and Control Engineering,SY
COSTING & COST CONTROL,BTech-Mechanical Engineering,SY
COSTING & COST CONTROL,BTech-Computer Engineering,SY
ENGINEERING GRAPHICS,BTech-Mechanical Engineering,FY
ELECTRICAL ENGINEERING FUNDAMENTALS,BTech-Electronics Engineering,BTech
ENGINEERING GRAPHICS,BTech-Information Technology,BTech
ENGINEERING GRAPHICS,BTech-Mechanical Engineering,BTech
SIGNAL AND SYSTEMS,BTech-Instrumentation and Control Engineering,SY
PROCESS MEASUREMENTS,BTech-Instrumentation and Control Engineering,SY
MECHANICAL MEASUREMENTS,BTech-Instrumentation and Control Engineering,SY
CONTROL SYSTEMS,BTech-Instrumentation and Control Engineering,SY
ANALOG CIRCUITS,BTech-Instrumentation and Control Engineering,SY
COMPREHENSIVE VIVA VOCE,BTech-Information Technology,BTech
COMPREHENSIVE VIVA VOCE,BTech-Electronics Engineering,BTech
COMPREHENSIVE VIVA VOCE,BTech-Electronics and Telecommunication Engg,SY
COMPREHENSIVE VIVA VOCE,BTech-Electronics Engineering,TY
C#.NET,BTech-Information Technology,BTech
SEMINAR,BTech-Computer Engineering,BTech
SEMINAR,BTech-Computer Engineering,TY
SEMINAR,BTech-Electronics Engineering,TY
ENGINEERING DESIGN & DEVELOPMENT -I,BTech-Instrumentation and Control Engineering,BTech
COMPUTER GRAPHICS,BTech-Production Engineering,BTech
PRINCIPLES OF PROGRAMMING LANGUAGES,BTech-Information Technology,BTech
TECHNICAL WRITING,BTech-Information Technology,BTech
TECHNICAL WRITING,BTech-Electronics Engineering,TY
TECHNICAL WRITING,BTech-Mechanical Engineering,SY
ELECTRICAL AND ELECTRONICS ENGINEERING,BTech-Mechanical Engineering,SY
PROCESS CALCULATIONS,BTech-Chemical Engineering,BTech
FLUID-FLOW OPERATIONS,BTech-Chemical Engineering,BTech
ORGANIC CHEMISTRY,BTech-Chemical Engineering,BTech
AUTOMATA THEORY,BTech-Computer Engineering,SY
ELECTRICAL MACHINES,BTech-Electronics and Telecommunication Engg,SY
ELECTRICAL MACHINES,BTech-Electronics Engineering,SY
ENGINEERING & MANAGERIAL ECONOMICS,BTech-Mechanical Engineering,SY
PROBABILITY AND STATISTICS,BTech-Instrumentation and Control Engineering,SY
LINEAR ALGEBRA,BTech-Instrumentation and Control Engineering,SY
CONTROL SYSTEM COMPONENTS,BTech-Instrumentation and Control Engineering,SY
MANUFACTURING PROCESSES,BTech-Production Engineering,BTech
MATERIAL SCIENCE,BTech-Production Engineering,BTech
THEORY OF MACHINES,BTech-Production Engineering,BTech
MECHANICAL MEASUREMENTS,BTech-Production Engineering,BTech
FLUID MACHINERY AND FLUID POWER,BTech-Mechanical Engineering,TY
DIFFERENTIAL EQUATIONS AND VECTOR ANALYSIS,BTech-Mechanical Engineering,SY
DISSERTATION BY INTERNSHIP,MTech-Computer Science and Engineering,SY
DISSERTATION BY RESEARCH,MTech-Chemical Engineering,SY
DISSERTATION BY RESEARCH,MTech-Electronics and Telecommunication Engg,SY
DISSERTATION BY RESEARCH,MTech-Mechanical Engineering(Design),SY
DISSERTATION BY RESEARCH,MTech-Instrumentation and Control Engineering,SY
DISSERTATION STAGE - II,M.Tech-Computer Science and Engineering (Information Technology),SY
MASS TRANSFER OPERATIONS,BTech-Chemical Engineering,SY
CHEMICAL REACTION KINETICS,BTech-Chemical Engineering,SY
CHEMICAL TECHNOLOGY,BTech-Chemical Engineering,SY
NUMERICAL METHODS FOR CHEMICAL ENGINEERING,BTech-Chemical Engineering,SY
ADVANCES IN DATA STRUCTURES,BTech-Computer Engineering,SY
OPERATING SYSTEMS,BTech-Computer Engineering,SY
DATABASE MANAGEMENT SYSTEMS,BTech-Computer Engineering,SY
COMPUTER NETWORKS,BTech-Computer Engineering,BTech
ENGINEERING DESIGN AND DEVELOPMENT 2,BTech-Computer Engineering,SY
MACHINE DESIGN,BTech-Mechanical Engineering,BTech
MACHINE DESIGN,BTech-Mechanical Engineering,SY
HEAT TRANSFER,BTech-Mechanical Engineering,SY
HEAT TRANSFER,BTech-Mechanical Engineering,BTech
PARTIAL DIFFERENTIAL EQUATIONS AND NUMERICAL TECHNIQUES,BTech-Mechanical Engineering,SY
GENERAL PROFICIENCY 2,BTech-Mechanical Engineering,SY
PROFESSIONAL DEVELOPMENT 1,BTech-Mechanical Engineering,SY
ENGINEERING DESIGN AND DEVELOPMENT 2,BTech-Mechanical Engineering,BTech
ENGINEERING DESIGN AND DEVELOPMENT 2,BTech-Mechanical Engineering,SY
THERMAL AND FLUID ENGINEERING,BTech-Industrial Engineering,SY
MATERIAL SCIENCE,BTech-Industrial Engineering,SY
CASTING & JOINING TECHNOLOGIES,BTech-Industrial Engineering,SY
DESIGN OF MACHINE ELEMENTS,BTech-Industrial Engineering,SY
ENGINEERING DESIGN AND DEVELOPMENT 2,BTech-Electronics Engineering,BTech
MANUFACTURING PROCESSES & SYSTEMS,BTech-Industrial Engineering,TY
OPERATIONS MANAGEMENT,BTech-Industrial Engineering,TY
SUPPLY CHAIN MANAGEMENT,BTech-Industrial Engineering,TY
WORLD CLASS MANUFACTURING,BTech-Industrial Engineering,TY
ENGINEERING DESIGN AND DEVELOPMENT 2,BTech-Industrial Engineering,TY
SUMMER TRAINING,BTech-Industrial Engineering,TY
PROFESSIONAL DEVELOPMENT 1,BTech-Industrial Engineering,TY
GENERAL PROFICIENCY 2,BTech-Industrial Engineering,TY
ADDITIVE MANUFACTURING,BTech-Production Engineering,BTech
RF CIRCUIT DESIGN,BTech-Electronics Engineering,TY
DIGITAL SYSTEM DESIGN,BTech-Electronics Engineering,TY
MICROWAVE ENGINEERING,BTech-Electronics Engineering,TY
INTERNET OF THINGS,BTech-Electronics Engineering,TY
ENGINEERING DESIGN AND DEVELOPMENT 2,BTech-Electronics Engineering,TY
PROFESSIONAL DEVELOPMENT 1,BTech-Electronics Engineering,TY
GENERAL PROFICIENCY 2,BTech-Electronics Engineering,TY
SUMMER TRAINING,BTech-Electronics Engineering,TY
DIGITAL SIGNAL PROCESSING,BTech-Electronics and Telecommunication Engg,TY
DIGITAL SIGNAL PROCESSING,BTech-Electronics Engineering,TY
ENGINEERING DESIGN AND DEVELOPMENT 2,BTech-Computer Engineering,BTech
ENGINEERING DESIGN AND DEVELOPMENT 2,BTech-Computer Engineering,TY
SUMMER TRAINING,BTech-Computer Engineering,BTech
SUMMER TRAINING,BTech-Computer Engineering,TY
PROFESSIONAL DEVELOPMENT 1,BTech-Computer Engineering,BTech
PROFESSIONAL DEVELOPMENT 1,BTech-Computer Engineering,TY
ENGINEERING DESIGN AND DEVELOPMENT 2,BTech-Instrumentation and Control Engineering,TY
PROFESSIONAL DEVELOPMENT 1,BTech-Instrumentation and Control Engineering,TY
GENERAL PROFICIENCY 2,BTech-Instrumentation and Control Engineering,TY
OPERATIONS SCHEDULING,BTech-Production Engineering,BTech
OPERATIONS SCHEDULING,BTech-Industrial Engineering,BTech
INDUSTRY INTERNSHIP,BTech-Electronics Engineering,BTech
DISSERTATION BY INTERNSHIP ,MTech-Electronics and Telecommunication Engg,SY
DISSERTATION BY RESEARCH ,MTech-Electronics and Telecommunication Engg,SY
DISSERTATION BY INTERNSHIP,MTech-Mechanical Engineering(Design),SY
DISSERTATION BY RESEARCH ,MTech-Mechanical Engineering(Design),SY
DISSERTATION BY INTERNSHIP,MTech-Mechanical Engineering(Heat Power),SY
DISSERTATION BY RESEARCH,MTech-Mechanical Engineering(Heat Power),SY
DISSERTATION BY INTERNSHIP,MTech-Instrumentation and Control Engineering,SY
DISSERTATION BY INTERNSHIP,MTech-Chemical Engineering,SY
ENGINEERING DESIGN & INNOVATION 1,BTech-Mechanical Engineering,SY
ENGINEERING DESIGN & INNOVATION 1,BTech-Industrial Engineering,SY
DATA STRUCTURES-I,BTech-Computer Engineering,SY
DIGITAL ELECTRONICS AND LOGIC DESIGN,BTech-Computer Engineering,SY
OBJECT ORIENTED PROGRAMMING,BTech-Computer Engineering,SY
COMPUTER ORGANIZATION,BTech-Computer Engineering,SY
MECHANICAL OPERATIONS,BTech-Chemical Engineering,SY
HEAT TRANSFER,BTech-Chemical Engineering,SY
ENGINEERING DESIGN AND INNOVATION 1,BTech-Chemical Engineering,SY
DISSERTATION BY INTERNSHIP,MTech-Electronics and Telecommunication Engg,SY
DISSERTATION BY RESEARCH,MTech-Computer Science and Engineering,SY
COMPUTER PROGRAMING,DESH-DESH,FY
ROBOT MECHANICS AND CONTROL,DESH-DESH,FY
GRAPHICS AND MECHANICAL WORKSHOP,DESH-DESH,FY
ENGINEERING DESIGN AND INNOVATION - I,DESH-DESH,FY
ADVANCE COMPUTER PROGRAMMING,DESH-DESH,FY
GRAPHICS AND MECHATRONICS WORKSHOP,DESH-DESH,FY
MECHATRONICS AND ROBOTICS,DESH-DESH,FY
ENGINEERING DESIGN AND INNOVATION - II,DESH-DESH,FY
CHEMICAL REACTION ENGINEERING,BTech-Chemical Engineering,TY
REAL-TIME OPERATING SYSTEMS,BTech-Electronics Engineering,BTech
DATA SCIENCE,Master of Computer Application-(MCA),TY
ADVANCED POWER ELECTRONICS,BTech-Electronics Engineering,BTech
ADVANCE WEB TECHNOLOGY,Master of Computer Application-(MCA),TY
IMAGE PROCESSING,Master of Computer Application-(MCA),TY
PRINCIPLES OF PROGRAMMING LANGUAGES,BTech-Computer Engineering,TY
DCS AND COMMUNICATION PROTOCOLS,BTech-Instrumentation and Control Engineering,BTech
DATA ANALYTICS,BTech-Industrial Engineering,BTech
FINANCIAL MANAGEMENT & COSTING,BTech-Industrial Engineering,BTech
MAJOR PROJECT 2,BTech-Industrial Engineering,BTech
ENGINEERING DESIGN & INNOVATION 2,BTech-Industrial Engineering,SY
MACHINE DRAWING & COMPUTER GRAPHICS,BTech-Industrial Engineering,SY
ENGINEERING DESIGN & INNOVATION 2,BTech-Production Engineering,SY
DATA STRUCTURES-II,BTech-Computer Engineering,SY
DATA COMMUNICATION,BTech-Computer Engineering,SY
MICROPROCESSORS AND INTERFACING,BTech-Computer Engineering,SY
ENGINEERING DESIGN & INNOVATION 2,BTech-Computer Engineering,SY
INSTRUMENTATION AND PROCESS CONTROL,BTech-Chemical Engineering,TY
ENGINEERING DESIGN & INNOVATION 2,BTech-Chemical Engineering,SY
GENERAL PROFICIENCY 2,BTech-Chemical Engineering,SY
ENGINEERING DESIGN & INNOVATION 2,BTech-Mechanical Engineering,SY
SOFTWARE DEVELOPMENT PROJECT,DESH-DESH,FY
MARKETING MANAGEMENT,BTech-Industrial Engineering,BTech
CYBER SECURITY,MTech-Computer Science and Engineering,FY
CLOUD COMPUTING,MTech-Computer Science and Engineering,FY
RESEARCH INTERNSHIP,BTech-Electronics and Telecommunication Engg,BTech
INDUSTRY INTERNSHIP,BTech-Mechanical Engineering,BTech
DATA ANALYTICS FOR ENGINEERS,BTech-Mechanical Engineering,BTech
DATA ANALYTICS FOR ENGINEERS,BTech-Production Engineering,BTech
DATA ANALYTICS FOR ENGINEERS,BTech-Industrial Engineering,BTech
DESIGN FOR X AND PRODUCT LIFE CYCLE MANAGEMENT,BTech-Mechanical Engineering,BTech
DESIGN FOR X AND PRODUCT LIFE CYCLE MANAGEMENT,BTech-Production Engineering,BTech
DESIGN FOR X AND PRODUCT LIFE CYCLE MANAGEMENT,BTech-Industrial Engineering,BTech
MAJOR PROJECT,BTech-Industrial Engineering,BTech
INDUSTRY INTERNSHIP,BTech-Industrial Engineering,BTech
WORK SYSTEMS & ERGONOMIC DESIGN,BTech-Industrial Engineering,TY
FACILITIES & OPERATIONS MANAGEMENT,BTech-Industrial Engineering,TY
MANUFACTURING SYSTEMS & STRATEGIES,BTech-Industrial Engineering,TY
SOFTWARE APPLICATIONS IN INDUSTRIAL ENGINEERING,BTech-Industrial Engineering,TY
ENGINEERING DESIGN AND INNOVATION - III,BTech-Industrial Engineering,TY
ENGINEERING DESIGN-I,BTech-Industrial Engineering,TY
DIE & MOLD DESIGN,BTech-Mechanical Engineering,BTech
DIE & MOLD DESIGN,BTech-Production Engineering,BTech
DIE & MOLD DESIGN,BTech-Industrial Engineering,BTech
MAJOR PROJECT,BTech-Production Engineering,BTech
RESEARCH INTERNSHIP,BTech-Production Engineering,BTech
INDUSTRY INTERNSHIP,BTech-Production Engineering,BTech
PRODUCTION METALLURGY,BTech-Production Engineering,TY
METAL CUTTING & MACHINE TOOL DESIGN,BTech-Production Engineering,TY
SOFTWARE APPLICATIONS IN MANUFACTURING ENGINEERING,BTech-Production Engineering,TY
MAJOR PROJECT ,BTech-Information Technology,BTech
INDUSTRY INTERNSHIP,BTech-Information Technology,BTech
INTERNATIONAL INTERNSHIP,BTech-Information Technology,BTech
SYSTEM PROGRAMMING,BTech-Information Technology,TY
IMAGE PROCESSING AND CV,BTech-Information Technology,TY
ARTIFICIAL INTELLIGENCE,Master of Computer Application-(MCA),TY
MAJOR PROJECT,Master of Computer Application-(MCA),TY
INDUSTRIAL ELECTRONICS,BTech-Instrumentation and Control Engineering,BTech
INDUSTRIAL ELECTRONICS,BTech-Electronics and Telecommunication Engg,BTech
INDUSTRIAL ELECTRONICS,BTech-Electronics Engineering,BTech
MAJOR PROJECT,BTech-Instrumentation and Control Engineering,BTech
PLANT ENGINEERING AND PROJECT ECONOMICS,BTech-Chemical Engineering,BTech
TRANSPORT PHENOMENA,BTech-Chemical Engineering,BTech
MAJOR PROJECT,BTech-Chemical Engineering,BTech
RESEARCH INTERNSHIP,BTech-Chemical Engineering,BTech
PROJECT INTERNSHIP,BTech-Chemical Engineering,BTech
INDUSTRY INTERNSHIP,BTech-Chemical Engineering,BTech
INTERNATIONAL INTERNSHIP,BTech-Chemical Engineering,BTech
PROCESS EQUIPMENT DESIGN,BTech-Chemical Engineering,TY
MODELING AND SIMULATIONS,BTech-Chemical Engineering,TY
