course Name,Program,Year
ENGINEERING DESIGN AND INNOVATION - III,BTech-Chemical Engineering,TY
CAD/CAM/CAE,BTech-Mechanical Engineering,BTech
CAD/CAM/CAE,BTech-Industrial Engineering,BTech
CAD/CAM/CAE,BTech-Production Engineering,BTech
COMPUTATIONAL FLUID DYNAMICS,BTech-Mechanical Engineering,BTech
COMPUTATIONAL FLUID DYNAMICS,BTech-Industrial Engineering,BTech
COMPUTATIONAL FLUID DYNAMICS,BTech-Production Engineering,BTech
VIBRATION ANALYSIS,BTech-Mechanical Engineering,BTech
VIBRATION ANALYSIS,BTech-Production Engineering,BTech
REFRIGERATION AND AIR CONDITIONING,BTech-Mechanical Engineering,BTech
REFRIGERATION AND AIR CONDITIONING,BTech-Production Engineering,BTech
MAJOR PROJECT,BTech-Mechanical Engineering,BTech
RESEARCH INTERNSHIP,BTech-Mechanical Engineering,BTech
PROJECT INTERNSHIP,BTech-Mechanical Engineering,BTech
INTERNATIONAL INTERNSHIP,BTech-Mechanical Engineering,BTech
HYDRAULIC MACHINES AND FLUID POWER,BTech-Mechanical Engineering,TY
DYNAMICS OF MACHINES,BTech-Mechanical Engineering,TY
HYBRID AND ELECTRIC VEHICLES,BTech-Mechanical Engineering,TY
APPLIED THERMAL ENGINEERING,BTech-Mechanical Engineering,TY
METROLOGY AND QUALITY CONTROL,BTech-Mechanical Engineering,TY
MODELING & SIMULATION OF MECHANICAL SYSTEMS,BTech-Mechanical Engineering,TY
INDUSTRIAL AUTOMATION,BTech-Electronics Engineering,BTech
INDUSTRIAL AUTOMATION,BTech-Electronics and Telecommunication Engg,BTech
NATURAL LANGUAGE PROCESSING,BTech-Information Technology,BTech
NATURAL LANGUAGE PROCESSING,BTech-Instrumentation and Control Engineering,BTech
NATURAL LANGUAGE PROCESSING,BTech-Computer Engineering,BTech
NATURAL LANGUAGE PROCESSING,BTech-Electronics Engineering,BTech
NATURAL LANGUAGE PROCESSING,BTech-Electronics and Telecommunication Engg,BTech
NATURAL LANGUAGE PROCESSING,BTech-Artificial Intelligence and Data Science,BTech
ADVANCED COMMUNICATION ENGINEERING,BTech-Instrumentation and Control Engineering,BTech
ADVANCED COMMUNICATION ENGINEERING,BTech-Electronics Engineering,BTech
ADVANCED COMMUNICATION ENGINEERING,BTech-Electronics and Telecommunication Engg,BTech
DEEP LEARNING,BTech-Instrumentation and Control Engineering,BTech
DEEP LEARNING,BTech-Computer Engineering,BTech
DEEP LEARNING,BTech-Electronics Engineering,BTech
DEEP LEARNING,BTech-Electronics and Telecommunication Engg,BTech
CMOS RF INTEGRATED CIRCUITS,BTech-Electronics Engineering,BTech
CMOS RF INTEGRATED CIRCUITS,BTech-Instrumentation and Control Engineering,BTech
MAJOR PROJECT,BTech-Electronics and Telecommunication Engg,BTech
MAJOR PROJECT,BTech-Electronics Engineering,BTech
INDUSTRY INTERNSHIP,BTech-Electronics and Telecommunication Engg,BTech
CLOUD COMPUTING,BTech-Instrumentation and Control Engineering,BTech
CLOUD COMPUTING,BTech-Computer Engineering,BTech
CLOUD COMPUTING,BTech-Electronics Engineering,BTech
CLOUD COMPUTING,BTech-Electronics and Telecommunication Engg,BTech
PARALLEL COMPUTING,BTech-Information Technology,BTech
PARALLEL COMPUTING,BTech-Computer Engineering,BTech
PARALLEL COMPUTING,BTech-Instrumentation and Control Engineering,BTech
PARALLEL COMPUTING,BTech-Electronics and Telecommunication Engg,BTech
PARALLEL COMPUTING,BTech-Electronics Engineering,BTech
ENGINEERING DESIGN AND INNOVATION - V,BTech-Mechanical Engineering,TY
EMBEDDED SYSTEM DESIGN,BTech-Electronics Engineering,TY
SOFTWARE DEVELOPMENT PROJECT - I,BTech-Electronics Engineering,TY
ENGINEERING DESIGN AND INNOVATION - III,BTech-Electronics Engineering,TY
MAJOR PROJECT,BTech-Information Technology,BTech
HUMAN COMPUTER INTERACTION,BTech-Information Technology,BTech
HUMAN COMPUTER INTERACTION,BTech-Instrumentation and Control Engineering,BTech
HUMAN COMPUTER INTERACTION,BTech-Electronics Engineering,BTech
HUMAN COMPUTER INTERACTION,BTech-Electronics and Telecommunication Engg,BTech
HUMAN COMPUTER INTERACTION,BTech-Artificial Intelligence and Data Science,BTech
INTERNET OF THINGS,BTech-Computer Engineering,BTech
INTERNET OF THINGS,BTech-Electronics and Telecommunication Engg,BTech
MAJOR PROJECT,BTech-Computer Engineering,BTech
RESEARCH INTERNSHIP,BTech-Computer Engineering,BTech
INDUSTRY INTERNSHIP,BTech-Computer Engineering,BTech
INTERNATIONAL INTERNSHIP,BTech-Computer Engineering,BTech
COMPUTER NETWORK TECHNOLOGY,BTech-Computer Engineering,TY
SYSTEM SOFTWARE,BTech-Computer Engineering,TY
DESIGN AND ANALYSIS OF ALGORITHMS,BTech-Computer Engineering,TY
COMPILER DESIGN,BTech-Computer Engineering,TY
ARTIFICIAL INTELLIGENCE,BTech-Computer Engineering,TY
AUTOMATED SOFTWARE ENGINEERING,BTech-Computer Engineering,TY
DATA SCIENCE,BTech-Computer Engineering,TY
CYBER SECURITY,BTech-Computer Engineering,TY
RESEARCH INTERNSHIP,BTech-Instrumentation and Control Engineering,BTech
COMPUTER INTEGRATED MANUFACTURING,BTech-Mechanical Engineering,BTech
COMPUTER INTEGRATED MANUFACTURING,BTech-Production Engineering,BTech
COMPUTER INTEGRATED MANUFACTURING,BTech-Industrial Engineering,BTech
PARTICULATE TECHNOLOGY,BTech-Chemical Engineering,SY
PHYSICAL AND ORGANIC CHEMISTRY,BTech-Chemical Engineering,SY
ENGINEERING DESIGN AND INNOVATION - IV,BTech-Chemical Engineering,SY
COMPUTER ARCHITECTURE & OPERATING SYSTEMS,BTech-Computer Engineering,SY
DATA COMMUNICATION AND NETWORKS,BTech-Computer Engineering,SY
SOFTWARE DEVELOPMENT PROJECT ,BTech-Computer Engineering,SY
ENGINEERING DESIGN AND INNOVATION ,BTech-Computer Engineering,SY
FLUID ENGINEERING,BTech-Mechanical Engineering,SY
THERMODYNAMICS,BTech-Mechanical Engineering,SY
ANALYSIS AND SIMULATION OF MACHINES AND MECHANISMS,BTech-Mechanical Engineering,SY
ENGINEERING DESIGN AND INNOVATION - III,BTech-Mechanical Engineering,SY
MECHANICAL DESIGN,BTech-Production Engineering,SY
PRODUCT DESIGN & MODELING,BTech-Production Engineering,SY
ENGINEERING DESIGN AND INNOVATION- IV,BTech-Production Engineering,SY
COMPUTER ARCHITECTURE AND OPERATING SYSTEMS,BTech-Electronics and Telecommunication Engg,SY
COMMUNICATION ENGINEERING,BTech-Electronics and Telecommunication Engg,SY
ENGINEERING DESIGN AND INNOVATION - IV,BTech-Electronics and Telecommunication Engg,SY
SIGNAL AND IMAGE PROCESSING,BTech-Instrumentation and Control Engineering,SY
DATA STRUCTURES ,BTech-Information Technology,SY
COMPUTER ARCHITECTURE AND OPERATING SYSTEM,BTech-Information Technology,SY
DATA COMMUNICATION AND NETWORKING ,BTech-Information Technology,SY
SOFTWARE DEVELOPMENT PROJECT - I,BTech-Information Technology,SY
ENGINEERING DESIGN AND INNOVATION - 1,BTech-Information Technology,SY
ENGINEERING DESIGN - I,BTech-Information Technology,SY
DATA SCIENCE,BTech-Production Engineering,SY
DATA SCIENCE,BTech-Mechanical Engineering,SY
DATA SCIENCE,BTech-Electronics and Telecommunication Engg,SY
DATA SCIENCE,BTech-Computer Engineering,SY
DATA SCIENCE,BTech-Instrumentation and Control Engineering,SY
DATA SCIENCE,BTech-Chemical Engineering,SY
DATA SCIENCE,BTech-Artificial Intelligence and Data Science,SY
DATA SCIENCE,BTech-Information Technology,SY
DATA SCIENCE,BTech - Computer Science and Engineering (Artificial Intelligence and Machine Learning),SY
DATA SCIENCE,BTech-Computer Science and Engineering (Artificial Intelligence),SY
APPLIED ELECTRONICS,BTech-Chemical Engineering,SY
APPLIED ELECTRONICS,BTech-Computer Engineering,SY
APPLIED ELECTRONICS,BTech-Mechanical Engineering,SY
MECHANICAL AND SYSTEM ENGINEERING,BTech-Computer Engineering,SY
MECHANICAL AND SYSTEM ENGINEERING,BTech-Mechanical Engineering,SY
ROBOTICS,BTech-Electronics Engineering,TY
SOFTWARE DEVELOPMENT PROJECT - II,BTech-Electronics Engineering,TY
ENGINEERING DESIGN-I,BTech-Electronics Engineering,TY
COMPUTER VISION,BTech-Electronics and Telecommunication Engg,TY
COMPUTER VISION,BTech-Electronics Engineering,TY
DIGITAL DESIGN,BTech-Electronics and Telecommunication Engg,TY
DIGITAL DESIGN,BTech-Electronics Engineering,TY
SOFTWARE DEVELOPMENT PROJECT - II,BTech-Electronics and Telecommunication Engg,TY
MECHANICAL SYSTEM DESIGN,BTech-Mechanical Engineering,TY
ENGINEERING DESIGN-I,BTech-Mechanical Engineering,SY
ENGINEERING DESIGN-I,BTech-Electronics and Telecommunication Engg,SY
SOFTWARE DESIGN-I,BTech-Electronics and Telecommunication Engg,SY
SOFTWARE DEVELOPMENT PROJECT ,BTech-Electronics and Telecommunication Engg,SY
ENGINEERING DESIGN AND INNOVATION - 1,BTech-Electronics and Telecommunication Engg,SY
ENGINEERING DESIGN-I,BTech-Computer Engineering,SY
SOFTWARE DESIGN-I,BTech-Computer Engineering,SY
SOFTWARE DESIGN - I,BTech-Information Technology,SY
ENGINEERING DESIGN AND INNOVATION - IV,BTech-Instrumentation and Control Engineering,SY
SOFTWARE DEVELOPMENT PROJECT-I,BTech-Mechanical Engineering,SY
SOFTWARE DESIGN-I,BTech-Mechanical Engineering,SY
SOFTWARE DEVELOPMENT PROJECT-I,BTech-Production Engineering,SY
ENGINEERING DESIGN & INNOVATION ,BTech-Production Engineering,SY
SOFTWARE DEVELOPMENT PROJECT-I,BTech-Information Technology,SY
ENGINEERING DESIGN AND INNOVATION-III,BTech-Information Technology,SY
SOFTWARE DESIGN - I,BTech-Chemical Engineering,SY
SOFTWARE DEVELOPMENT PROJECT - I,BTech-Chemical Engineering,SY
ENGINEERING DESIGN AND INNOVATION ,BTech-Chemical Engineering,SY
ENGINEERING DESIGN-I,BTech-Mechanical Engineering,TY
SOFTWARE DESIGN - I,BTech-Instrumentation and Control Engineering,TY
ENGINEERING DESIGN - I,BTech-Chemical Engineering,TY
SOFTWARE DESIGN-I,BTech-Electronics Engineering,TY
POWER PLANT ENGINEERING,BTech-Mechanical Engineering,BTech
POWER PLANT ENGINEERING,BTech-Production Engineering,BTech
POWER PLANT ENGINEERING,BTech-Industrial Engineering,BTech
PROJECT MANAGEMENT,BTech-Information Technology,BTech
PROJECT MANAGEMENT,BTech-Chemical Engineering,BTech
PROJECT MANAGEMENT,BTech-Instrumentation and Control Engineering,BTech
PROJECT MANAGEMENT,BTech-Mechanical Engineering,BTech
PROJECT MANAGEMENT,BTech-Industrial Engineering,BTech
PROJECT MANAGEMENT,BTech-Production Engineering,BTech
PROJECT MANAGEMENT,BTech-Computer Engineering,BTech
PROJECT MANAGEMENT,BTech-Electronics and Telecommunication Engg,BTech
IMAGE PROCESSING,BTech-Computer Engineering,BTech
IMAGE PROCESSING,BTech-Electronics Engineering,BTech
IMAGE PROCESSING,BTech-Electronics and Telecommunication Engg,BTech
BUSINESS PROPOSAL WRITING,BTech-Electronics Engineering,BTech
BUSINESS PROPOSAL WRITING,BTech-Electronics and Telecommunication Engg,BTech
COGNITIVE APTITUDE,DESH-DESH,FY
HUMAN ENGINEERING,DESH-DESH,FY
MOBILE APPLICATION DEVELOPMENT,DESH-DESH,FY
PROBLEM SOLVING AND PROGRAMMING,DESH-DESH,FY
ROBOT: MECHANICS AND ELECTRONICS,DESH-DESH,FY
CAPSTONE PROJECT 1,DESH-DESH,FY
GENERAL PROFICIENCY AND PROFESSIONAL DEVELOPMENT,DESH-DESH,FY
ENGINEERING MATHEMATICS,DESH-DESH,FY
ENGINEERING MATHEMATICS,BTech-Chemical Engineering,SY
SYSTEMS ENGINEERING,DESH-DESH,FY
LINEAR ALGEBRA AND APPLIED  STATISTICS,MTech-Mechanical Engineering(Design),FY
LINEAR ALGEBRA AND APPLIED  STATISTICS,MTech-Computer Science and Engineering,FY
INTERNET OF THINGS,MTech-Electronics and Telecommunication Engg,FY
COMPUTER VISION,MTech-Electronics and Telecommunication Engg,FY
COMPUTER VISION,MTech-Computer Science and Engineering,FY
SOFTWARE DEVELOPMENT PROJECT I,MTech-Computer Science and Engineering,FY
PROGRAMMING IN C,Master of Computer Application-(MCA),FY
DATABASE MANAGEMENT SYSTEM ,Master of Computer Application-(MCA),FY
WEB TECHNOLOGY,Master of Computer Application-(MCA),FY
SOFTWARE ENGINEERING & PROJECT MANAGEMENT,Master of Computer Application-(MCA),FY
DISCRETE STRUCTURES,Master of Computer Application-(MCA),FY
SOFT SKILLS,Master of Computer Application-(MCA),FY
COMPUTER AIDED ENGINEERING,MTech-Mechanical Engineering(Design),FY
COMPUTATIONAL FLUID DYNAMICS,MTech-Mechanical Engineering(Design),FY
MECHANICAL DESIGN AND ANALYSIS,MTech-Mechanical Engineering(Design),FY
SOFTWARE DEVELOPMENT PROJECT - I,MTech-Mechanical Engineering(Design),FY
SOFTWARE DEVELOPMENT PROJECT I,MTech-Electronics and Telecommunication Engg,FY
OBJECT ORIENTED PROGRAMMING,BTech-Production Engineering,SY
OBJECT ORIENTED PROGRAMMING,BTech-Mechanical Engineering,SY
OBJECT ORIENTED PROGRAMMING,BTech-Electronics and Telecommunication Engg,SY
OBJECT ORIENTED PROGRAMMING,BTech-Instrumentation and Control Engineering,SY
OBJECT ORIENTED PROGRAMMING,BTech-Chemical Engineering,SY
OBJECT ORIENTED PROGRAMMING,BTech-Artificial Intelligence and Data Science,SY
OBJECT ORIENTED PROGRAMMING,BTech-Information Technology,SY
OBJECT ORIENTED PROGRAMMING,BTech - Computer Science and Engineering (Artificial Intelligence and Machine Learning),SY
OBJECT ORIENTED PROGRAMMING,BTech-Computer Science and Engineering (Artificial Intelligence),SY
ENGINEERING DESIGN AND INNOVATION ,BTech-Electronics and Telecommunication Engg,SY
POWER ELECTRONICS AND DRIVES,BTech-Electronics Engineering,TY
ENGINEERING DESIGN AND INNOVATION - IV,BTech-Electronics Engineering,TY
ENGINEERING DESIGN AND INNOVATION - IV,BTech-Electronics and Telecommunication Engg,TY
BUILDING AND PROCESS AUTOMATION,BTech-Instrumentation and Control Engineering,TY
SOFTWARE DEVELOPMENT PROJECT - II,BTech-Instrumentation and Control Engineering,TY
ENGINEERING DESIGN AND INNOVATION - IV,BTech-Instrumentation and Control Engineering,TY
INSTRUMENTATION PROJECT ENGINEERING,BTech-Instrumentation and Control Engineering,TY
BATCH PROCESS CONTROL,BTech-Instrumentation and Control Engineering,TY
WEB TECHNOLOGY AND CLOUD COMPUTING,BTech-Information Technology,TY
SOFTWARE DESIGN AND METHDOLOGIES,BTech-Information Technology,TY
ENGINEERING DESIGN AND INNOVATION-IV,BTech-Information Technology,TY
DISTRIBUTED COMPUTING,Master of Computer Application-(MCA),TY
DEEP LEARNING,Master of Computer Application-(MCA),TY
CLOUD COMPUTING,Master of Computer Application-(MCA),TY
LOGISTICS & SUPPLY CHAIN MANAGEMENT,BTech-Industrial Engineering,TY
STATISTICAL QUALITY & RELIABILITY ENGINEERING,BTech-Industrial Engineering,TY
WORLD CLASS MANUFACTURING & INDUSTRY 4.0,BTech-Industrial Engineering,TY
OPERATIONS MODELING & SIMULATION,BTech-Industrial Engineering,TY
ENGINEERING DESIGN AND INNOVATION-VI,BTech-Industrial Engineering,TY
MANUFACTURING AUTOMATION,BTech-Production Engineering,TY
ADVANCED MANUFACTURING PROCESSES,BTech-Production Engineering,TY
COMPUTER AIDED ENGINEERING ANALYSIS,BTech-Production Engineering,TY
ENGINEERING DESIGN AND INNOVATION-VI,BTech-Production Engineering,TY
MANUFACTURING TECHNOLOGY,BTech-Production Engineering,SY
KINEMATICS & THERMO-FLUID MACHINES,BTech-Production Engineering,SY
ENGINEERING DESIGN AND INNOVATION ,BTech-Mechanical Engineering,SY
ENGINEERING DESIGN AND INNOVATION - VI,BTech-Mechanical Engineering,TY
SOFTWARE DEVELOPMENT PROJECT-II,BTech-Computer Engineering,SY
ENGINEERING DESIGN AND INNOVATION-IV,BTech-Computer Engineering,SY
ENGINEERING DESIGN AND INNOVATION-IV,BTech-Computer Engineering,TY
TRANSPORT PHENOMENA,BTech-Chemical Engineering,TY
PLANT ENGINEERING AND PROJECT ECONOMICS,BTech-Chemical Engineering,TY
OPTIMIZATION TECHNIQUES,BTech-Chemical Engineering,TY
ENGINEERING DESIGN AND INNOVATION-IV,BTech-Chemical Engineering,TY
SOFTWARE DEVELOPMENT PROJECT-II,BTech-Information Technology,SY
ENGINEERING DESIGN AND INNOVATION-IV,BTech-Information Technology,SY
MAJOR PROJECT ,BTech-Electronics Engineering,BTech
RESEARCH INTERNSHIP,BTech-Electronics Engineering,BTech
PROCESS ENGINEERING & TECHNOLOGY MANAGEMENT,BTech-Mechanical Engineering,BTech
PROCESS ENGINEERING & TECHNOLOGY MANAGEMENT,BTech-Industrial Engineering,BTech
PROCESS ENGINEERING & TECHNOLOGY MANAGEMENT,BTech-Production Engineering,BTech
MECHATRONICS & INDUSTRIAL ROBOTICS,BTech-Mechanical Engineering,BTech
MECHATRONICS & INDUSTRIAL ROBOTICS,BTech-Industrial Engineering,BTech
MECHATRONICS & INDUSTRIAL ROBOTICS,BTech-Production Engineering,BTech
ALGORITHMS AND COMPLEXITY,MTech-Computer Science and Engineering,FY
ADVANCES IN MACHINE LEARNING,MTech-Computer Science and Engineering,FY
SOFTWARE DEVELOPMENT PROJECT II,MTech-Computer Science and Engineering,FY
DATA STRUCTURES USING PYTHON,DESH-DESH,FY
CAPSTONE PROJECT 2,DESH-DESH,FY
DATA STRUCTURES,Master of Computer Application-(MCA),FY
OPERATING SYSTEMS,Master of Computer Application-(MCA),FY
C++ AND CORE JAVA PROGRAMMING,Master of Computer Application-(MCA),FY
COMPUTER ARCHITECTURE,Master of Computer Application-(MCA),FY
ADVANCED DBMS,Master of Computer Application-(MCA),FY
QUANTITATIVE TECHNIQUES,Master of Computer Application-(MCA),FY
DESIGN AND INNOVATION,Master of Computer Application-(MCA),FY
ADVANCED MEASUREMENTS AND DATA ANALYSIS,MTech-Mechanical Engineering(Design),FY
ADVANCED ANALYSIS AND SYNTHESIS OF MECHANISMS,MTech-Mechanical Engineering(Design),FY
ADVANCED STRESS ANALYSIS,MTech-Mechanical Engineering(Design),FY
VIBRATION AND NOISE CONTROL,MTech-Mechanical Engineering(Design),FY
SOFTWARE DEVELOPMENT PROJECT-II,MTech-Mechanical Engineering(Design),FY
INTERNET OF THINGS,BTech-Production Engineering,SY
INTERNET OF THINGS,BTech-Mechanical Engineering,SY
INTERNET OF THINGS,BTech-Electronics and Telecommunication Engg,SY
INTERNET OF THINGS,BTech-Computer Engineering,SY
INTERNET OF THINGS,BTech-Instrumentation and Control Engineering,SY
INTERNET OF THINGS,BTech-Chemical Engineering,SY
INTERNET OF THINGS,BTech-Artificial Intelligence and Data Science,SY
INTERNET OF THINGS,BTech-Information Technology,SY
INTERNET OF THINGS,BTech - Computer Science and Engineering (Artificial Intelligence and Machine Learning),SY
INTERNET OF THINGS,BTech-Computer Science and Engineering (Artificial Intelligence),SY
3D PRINTING,BTech-Production Engineering,SY
3D PRINTING,BTech-Mechanical Engineering,SY
3D PRINTING,BTech-Chemical Engineering,SY
SOLID MODELING AND COMPUTATIONAL ANALYSIS,BTech-Mechanical Engineering,SY
COMPUTER ORGANIZATION AND ARCHITECTURE,BTech-Electronics and Telecommunication Engg,SY
COMPUTER ORGANIZATION AND ARCHITECTURE,BTech-Computer Engineering,SY
COMPUTER ORGANIZATION AND ARCHITECTURE,BTech-Instrumentation and Control Engineering,SY
COMPUTER ORGANIZATION AND ARCHITECTURE,BTech-Artificial Intelligence and Data Science,SY
COMPUTER ORGANIZATION AND ARCHITECTURE,BTech-Information Technology,SY
ADVANCED DATA STRUCTURES,BTech-Electronics and Telecommunication Engg,SY
DIGITAL SYSTEMS,BTech-Electronics and Telecommunication Engg,SY
DATA COMMUNICATION,BTech-Electronics and Telecommunication Engg,SY
INDUSTRIAL ELECTRONICS,BTech-Electronics and Telecommunication Engg,SY
THEORY OF COMPUTATION,BTech-Computer Engineering,SY
SOFTWARE ENGINEERING,BTech-Computer Engineering,SY
DATABASE MANAGEMENT SYSTEM,BTech-Computer Engineering,SY
DATABASE MANAGEMENT SYSTEM,BTech-Instrumentation and Control Engineering,SY
DATABASE MANAGEMENT SYSTEM,BTech-Artificial Intelligence and Data Science,SY
DATABASE MANAGEMENT SYSTEM,BTech-Electronics and Telecommunication Engg,SY
DATABASE MANAGEMENT SYSTEM,BTech-Information Technology,SY
DATABASE MANAGEMENT SYSTEM,BTech - Computer Science and Engineering (Artificial Intelligence and Machine Learning),SY
DATABASE MANAGEMENT SYSTEM,BTech-Computer Science and Engineering (Artificial Intelligence),SY
ADVANCED DATA STRUCTURES,BTech-Information Technology,SY
DISCRETE STRUCTURE AND AUTOMATA THEORY,BTech-Information Technology,SY
COMPUTER NETWORK,BTech-Information Technology,SY
DATABASE MANANGEMENT AND DATA MINING,BTech-Information Technology,SY
SOFTWARE DEVELOPMENT PROJECT - I,BTech-Instrumentation and Control Engineering,SY
ENGINEERING DESIGN AND INNOVATION - III,BTech-Instrumentation and Control Engineering,SY
ADVANCED DATA STRUCTURES,BTech-Instrumentation and Control Engineering,SY
DATA COMMUNICATION,BTech-Instrumentation and Control Engineering,SY
INDUSTRIAL AUTOMATION,BTech-Instrumentation and Control Engineering,SY
CHEMICAL PROCESS TECHNOLOGY,BTech-Chemical Engineering,SY
ENGINEERING DESIGN AND INNOVATION ,BTech-Artificial Intelligence and Data Science,SY
SOFTWARE DEVELOPMENT PROJECT-I,BTech-Artificial Intelligence and Data Science,SY
ADVANCED DATA STRUCTURES,BTech-Artificial Intelligence and Data Science,SY
DISCRETE STRUCTURE AND AUTOMATA THEORY,BTech-Artificial Intelligence and Data Science,SY
COMPUTER NETWORK,BTech-Artificial Intelligence and Data Science,SY
DATABASE MANANGEMENT AND DATA MINING,BTech-Artificial Intelligence and Data Science,SY
ADVANCED JAVA PROGRAMMING,Master of Computer Application-(MCA),SY
DATA SCIENCE,Master of Computer Application-(MCA),SY
COMPUTER NETWORKS AND SECURITY,Master of Computer Application-(MCA),SY
CLOUD COMPUTING,Master of Computer Application-(MCA),SY
DESIGN AND ANALYSIS OF ALGORITHMS,Master of Computer Application-(MCA),SY
INDUSTRY 4.0,Master of Computer Application-(MCA),SY
HUMAN COMPUTER INTERACTION,Master of Computer Application-(MCA),SY
DESIGN AND INNOVATION,Master of Computer Application-(MCA),SY
ROBOTICS,BTech-Mechanical Engineering,TY
ELECTRIC VEHICLES,BTech-Mechanical Engineering,TY
MATERIALS AND PROCESS ENGINEERING,BTech-Mechanical Engineering,TY
DISCRETE STRUCTURE AND AUTOMATA THEORY,BTech-Information Technology,TY
ARTIFICIAL INTELLIGENCE,BTech-Information Technology,TY
ENGINEERING DESIGN AND INNOVATION - V,BTech-Information Technology,TY
DATABASE MANAGEMENT SYSTEM AND DATA MINING,BTech-Information Technology,TY
ADVANCED ROBOTICS & DIGITAL MANUFACTURING,BTech-Industrial Engineering,TY
ADVANCED ROBOTICS & DIGITAL MANUFACTURING,BTech-Production Engineering,TY
ADDITIVE MANUFACTURING,BTech-Industrial Engineering,TY
ADDITIVE MANUFACTURING,BTech-Production Engineering,TY
METROLOGY & QUALITY MANAGEMENT,BTech-Production Engineering,TY
ENGINEERING DESIGN AND INNOVATION - V,BTech-Industrial Engineering,TY
ENGINEERING DESIGN AND INNOVATION - V,BTech-Production Engineering,TY
PROCESS INSTRUMENTATION,BTech-Instrumentation and Control Engineering,TY
MEASUREMENT SYSTEMS,BTech-Instrumentation and Control Engineering,TY
INDUSTRIAL AUTOMATION,BTech-Instrumentation and Control Engineering,TY
CONTROL THEORY,BTech-Instrumentation and Control Engineering,TY
INTERNET OF THINGS,BTech-Instrumentation and Control Engineering,TY
ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,BTech-Instrumentation and Control Engineering,TY
CYBER SECURITY,BTech-Instrumentation and Control Engineering,TY
SOFTWARE DEVELOPMENT PROJECT - III,BTech-Instrumentation and Control Engineering,TY
ENGINEERING DESIGN AND INNOVATION - V,BTech-Instrumentation and Control Engineering,TY
SIGNAL PROCESSING,BTech-Electronics and Telecommunication Engg,TY
SIGNAL PROCESSING,BTech-Electronics Engineering,TY
EMBEDDED SYSTEM DESIGN,BTech-Electronics and Telecommunication Engg,TY
SOFTWARE DEVELOPMENT PROJECT ,BTech-Electronics and Telecommunication Engg,TY
SOFTWARE DEVELOPMENT PROJECT ,BTech-Electronics Engineering,TY
ENGINEERING DESIGN AND INNOVATION ,BTech-Electronics and Telecommunication Engg,TY
ENGINEERING DESIGN AND INNOVATION ,BTech-Electronics Engineering,TY
MACHINE LEARNING,BTech-Electronics and Telecommunication Engg,TY
MACHINE LEARNING,BTech-Electronics Engineering,TY
CLOUD COMPUTING,BTech-Electronics and Telecommunication Engg,TY
