course Name,Program,Year
DESIGN AND ANALYSIS OF ALGORITHM,BTech-Electronics and Telecommunication Engg,TY
DESIGN AND ANALYSIS OF ALGORITHM,BTech-Electronics Engineering,TY
WEB TECHNOLOGY,BTech-Electronics and Telecommunication Engg,TY
WEB TECHNOLOGY,BTech-Electronics Engineering,TY
OPERATING SYSTEMS,BTech-Electronics and Telecommunication Engg,TY
OPERATING SYSTEMS,BTech-Electronics Engineering,TY
DATABASE MANAGEMENT SYSTEMS,BTech-Electronics and Telecommunication Engg,TY
DATABASE MANAGEMENT SYSTEMS,BTech-Electronics Engineering,TY
WEB TECHNOLOGY,BTech-Computer Engineering,TY
MACHINE LEARNING,BTech-Computer Engineering,TY
ENGINEERING DESIGN AND INNOVATION-V,BTech-Computer Engineering,TY
SOFTWARE MODELING AND DESIGN,BTech-Computer Engineering,TY
HEAT TRANSFER,BTech-Chemical Engineering,TY
CHEMICAL ENGINEERING THERMODYNAMICS,BTech-Chemical Engineering,TY
CHEMICAL REACTION KINETICS,BTech-Chemical Engineering,TY
MASS TRANSFER OPERATIONS,BTech-Chemical Engineering,TY
ENGINEERING APPLICATIONS OF DATA SCIENCE,BTech-Chemical Engineering,TY
ENGINEERING DESIGN AND INNOVATION-V,BTech-Chemical Engineering,TY
HYBRID VEHICLES,BTech-Mechanical Engineering,TY
MACHINE LEARNING,BTech-Information Technology,BTech
MACHINE LEARNING,BTech-Instrumentation and Control Engineering,BTech
DISTRIBUTED COMPUTING,BTech-Information Technology,BTech
DISTRIBUTED COMPUTING,BTech-Instrumentation and Control Engineering,BTech
MACHINE INTELLIGENCE,BTech-Instrumentation and Control Engineering,BTech
MACHINE INTELLIGENCE,BTech-Electronics and Telecommunication Engg,BTech
MARKETING MANAGEMENT,BTech-Mechanical Engineering,BTech
MARKETING MANAGEMENT,BTech-Computer Engineering,BTech
MARKETING MANAGEMENT,BTech-Electronics and Telecommunication Engg,BTech
MARKETING MANAGEMENT,BTech-Electronics Engineering,BTech
MARKETING MANAGEMENT,BTech-Chemical Engineering,BTech
MARKETING MANAGEMENT,BTech-Production Engineering,BTech
MARKETING MANAGEMENT,BTech-Information Technology,BTech
MARKETING MANAGEMENT,BTech-Instrumentation and Control Engineering,BTech
WORLD CLASS MANUFACTURING & INDUSTRY 4.0,BTech-Mechanical Engineering,BTech
WORLD CLASS MANUFACTURING & INDUSTRY 4.0,BTech-Production Engineering,BTech
WORLD CLASS MANUFACTURING & INDUSTRY 4.0,BTech-Industrial Engineering,BTech
FINANCIAL MANAGEMENT & COSTING,BTech-Production Engineering,BTech
FINANCIAL MANAGEMENT & COSTING,BTech-Computer Engineering,BTech
FINANCIAL MANAGEMENT & COSTING,BTech-Chemical Engineering,BTech
FINANCIAL MANAGEMENT & COSTING,BTech-Instrumentation and Control Engineering,BTech
FINANCIAL MANAGEMENT & COSTING,BTech-Information Technology,BTech
FINANCIAL MANAGEMENT & COSTING,BTech-Electronics and Telecommunication Engg,BTech
FINANCIAL MANAGEMENT & COSTING,BTech-Electronics Engineering,BTech
FINANCIAL MANAGEMENT & COSTING,BTech-Artificial Intelligence and Data Science,BTech
FINANCIAL MANAGEMENT & COSTING,BTech-Mechanical Engineering,BTech
BIOPROCESS ENGINEERING,BTech-Chemical Engineering,BTech
NANOSCIENCE AND NANOTECHNOLOGY,BTech-Chemical Engineering,BTech
INDUSTRY INTERNSHIP,Master of Computer Application-(MCA),SY
INDUSTRY INTERNSHIP,Master of Computer Application-(MCA),TY
DESIGN THINKING 1,DESH-DESH,FY
YOGA,BTech-Instrumentation and Control Engineering,SY
VB.NET,BTech-Information Technology,BTech
STRUTS FRAMEWORK,BTech-Information Technology,BTech
STRENGTH OF MATERIALS,BTech-Chemical Engineering,BTech
STATISTICAL METHODS & RESEARCH METHODOLOGY,BTech-Industrial Engineering,BTech
SOFTWARE TESTING AND QUALITY ASSURANCE,BTech-Information Technology,BTech
SOFTWARE PROJECT MANAGEMENT,Master of Computer Application-(MCA),SY
SOFTWARE ENGINEERING,BTech-Information Technology,BTech
SOFTWARE DESIGN  AND  ARCHITECTURE,BTech-Information Technology,BTech
QUANTITATIVE APTITUDE-2,BTech-Computer Engineering,TY
PYTHON,BTech-Computer Engineering,SY
PYTHON,BTech-Computer Engineering,BTech
Pspice based circuit simulation,BTech-Electronics and Telecommunication Engg,SY
PROJECT STAGE III,BTech-Information Technology,BTech
PROCESS EQUIPMENT DESIGN,BTech-Chemical Engineering,BTech
OPERATION RESEARCH,Master of Computer Application-(MCA),SY
OPERATING SYSTEMS & COMPUTER NETWORKS,BTech-Information Technology,BTech
OBJECT ORIENTED DESIGN AND PROGRAMMING,Master of Computer Application-(MCA),SY
NETWORK SECURITY,BTech-Information Technology,BTech
NANOTECHNOLOGY,BTech-Chemical Engineering,BTech
MINI PROJECT,BTech-Mechanical Engineering,SY
MINI PROJECT,BTech-Computer Engineering,SY
MINI PROJECT,BTech-Computer Engineering,BTech
MICROPROCESSOR AND INTERFACING,BTech-Information Technology,BTech
MECHANICAL DESIGN,BTech-Mechanical Engineering,TY
MEASUREMENT & QUALITY CONTROL,BTech-Mechanical Engineering,TY
MATHEMATICS FOR ENGINEERING APPLICATIONS,BTech-Production Engineering,BTech
MANUFACTURING TECHNIQUES,BTech-Mechanical Engineering,BTech
MACHINE TOOLS AND PROCESSES,BTech-Production Engineering,BTech
MACHINE DRAWING AND GDT,BTech-Production Engineering,BTech
MACHINE DRAWING,BTech-Mechanical Engineering,BTech
MACHINE DRAWING,BTech-Mechanical Engineering,SY
LAB VIEW PROGRAMMING,BTech-Instrumentation and Control Engineering,SY
JAVA PROGRAMMING,Master of Computer Application-(MCA),SY
INTRODUCTION TO LINUX,BTech-Electronics Engineering,TY
INSTRUMENTATION AND PROCESS CONTROL,BTech-Chemical Engineering,BTech
INDUSTRIAL FLUID POWER,BTech-Mechanical Engineering,BTech
GREEN CHEMISTRY,BTech-Chemical Engineering,BTech
GEOMETRIC MODELLING,BTech-Mechanical Engineering,SY
DISSERTATION STAGE - II,MTech-Mechanical Engineering(Design),FY
DIGITAL SYSTEMS,BTech-Instrumentation and Control Engineering,SY
DIGITAL ELECTRONICS,BTech-Information Technology,BTech
DESIGN OF MECHANICAL SYSTEMS,BTech-Mechanical Engineering,BTech
DATABASE MANAGEMENT SYSTEMS,Master of Computer Application-(MCA),SY
DATA WAREHOUSING AND DATA MINING,Master of Computer Application-(MCA),SY
DATA COMMUNICATION,BTech-Information Technology,BTech
DATA ACQUISITION SYSTEMS,BTech-Information Technology,BTech
CYBER SECURITY AND FORENSIC TOOLS,BTech-Computer Engineering,BTech
COST AND ACCOUNTING,BTech-Information Technology,BTech
COMPUTER ORIENTED NUMERICAL METHODS,Master of Computer Application-(MCA),SY
COMPUTATIONAL METHODS IN MECHANICAL ENGINEERING,BTech-Information Technology,BTech
COMPUTATIONAL METHODS IN MECHANICAL ENGINEERING,BTech-Mechanical Engineering,TY
COMPREHENSIVE VIVA VOCE,BTech-Mechanical Engineering,BTech
COMPREHENSIVE VIVA VOCE,BTech-Mechanical Engineering,SY
CHEMICAL ENGINEERING MATHEMATICS,BTech-Chemical Engineering,BTech
BUSINESS COMMUNICATION THROUGH EFFECTIVE PRESENTATION,BTech-Information Technology,BTech
APPLIED ELECTROMECHANICS FOR ROBOTICS,BTech-Electronics and Telecommunication Engg,SY
ANALYTICAL CHEMISTRY,BTech-Chemical Engineering,BTech
ANALYSIS OF MACHINE ELEMENTS,BTech-Production Engineering,BTech
AEROBICS,BTech-Information Technology,BTech
ADVANCED PROJECT MANAGEMENT,BTech-Industrial Engineering,BTech
MATERIAL SCIENCE AND METALLURGY,BTech-Production Engineering,SY
MACHINE TOOLS & PROCESSES,BTech-Production Engineering,SY
BIOENGINEERING,BTech-Chemical Engineering,BTech
PROJECT STAGE  II,BTech-Information Technology,BTech
COMPUTER GRAPHICS AND MULTIMEDIA,Master of Computer Application-(MCA),SY
PROJECT STAGE III,BTech-Mechanical Engineering,BTech
HIGH PERFORMANCE NETWORKS,MTech-Computer Science and Engineering,FY
ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING PROJECT,BTech-Electronics and Telecommunication Engg,TY
INTERNET OF THINGS PROJECT,BTech-Electronics and Telecommunication Engg,TY
ENGINEERING DESIGN AND INNOVATION-VI,BTech-Computer Engineering,TY
MACHINE LEARNING PROJECT,BTech-Computer Engineering,TY
CYBER SECURITY PROJECT,BTech-Computer Engineering,TY
PROJECT WORK,BTech-Mechanical Engineering,TY
SOFTWARE DEVELOPMENT PROJECT - II,BTech-Instrumentation and Control Engineering,SY
WEB TECHNOLOGIES,BTech-Instrumentation and Control Engineering,TY
COMPUTER NETWORK,BTech-Instrumentation and Control Engineering,TY
DATABASE MANAGEMENT SYSTEM,BTech-Instrumentation and Control Engineering,TY
SOFTWARE DEVELOPMENT PROJECT - IV,BTech-Instrumentation and Control Engineering,TY
PROJECT MANAGEMENT AND ENTREPRENEURSHIP DEVELOPMENT,BTech-Industrial Engineering,TY
ROBOTICS & AUTOMATION PROJECT,BTech-Production Engineering,TY
ROBOTICS & AUTOMATION PROJECT,BTech-Industrial Engineering,TY
ADDITIVE MANUFACTURING PROJECT,BTech-Production Engineering,TY
ADDITIVE MANUFACTURING PROJECT,BTech-Industrial Engineering,TY
FORMING TECHNOLOGIES & TOOL DESIGN,BTech-Production Engineering,TY
SEPARATION TECHNIQUES,BTech-Chemical Engineering,TY
ENGINEERING APPLICATIONS OF DATA SCIENCE PROJECT,BTech-Chemical Engineering,TY
ENGINEERING DESIGN AND INNOVATION-VI,BTech-Chemical Engineering,TY
SOFTWARE DEVELOPMENT PROJECT-II,BTech-Artificial Intelligence and Data Science,SY
DESIGN AND ANALYSIS OF ALGORITHMS,BTech-Information Technology,TY
MACHINE LEARNING AND DEEP LEARNING,BTech-Information Technology,TY
PROJECT BASED ON HONOUR COURSE(AI),BTech-Information Technology,TY
IMAGE PROCESSING,Master of Computer Application-(MCA),SY
ARTIFICIAL INTELLIGENCE,Master of Computer Application-(MCA),SY
CYBER SECURITY,Master of Computer Application-(MCA),SY
MAJOR PROJECT,Master of Computer Application-(MCA),SY
ADVANCED DATA STRUCTURE,Master of Computer Application-(MCA),TY
HUMAN COMPUTER INTERACTION,Master of Computer Application-(MCA),TY
ENGINEERING DESIGN AND DEVELOPMENT 1,BTech-Computer Engineering,BTech
ENGINEERING DESIGN AND DEVELOPMENT 1,BTech-Computer Engineering,TY
COMMUNICATION FOUNDATIONS,BTech-Chemical Engineering,BTech
INTERPERSONAL COMMUNICATION,BTech-Chemical Engineering,BTech
COMPUTER SCIENCE PRINCIPLES: DIGITAL INFORMATION,BTech-Computer Engineering,BTech
DEVELOPING YOUR EMOTIONAL INTELLIGENCE,BTech-Electronics and Telecommunication Engg,BTech
COMMUNICATING WITH CONFIDENCE,BTech-Electronics and Telecommunication Engg,BTech
THINKING CREATIVELY,BTech-Electronics Engineering,BTech
PREPARING FOR SUCCESSFUL COMMUNICATION,BTech-Electronics Engineering,BTech
CRITICAL THINKING,BTech-Instrumentation and Control Engineering,BTech
WRITING A PROPOSAL,BTech-Instrumentation and Control Engineering,BTech
LEARNING DATA ANALYTICS,BTech-Industrial Engineering,BTech
LEARNING DATA ANALYTICS,BTech-Production Engineering,BTech
PROBLEM SOLVING TECHNIQUES,BTech-Computer Engineering,BTech
PROBLEM SOLVING TECHNIQUES,BTech-Industrial Engineering,BTech
PROBLEM SOLVING TECHNIQUES,BTech-Production Engineering,BTech
DIGITAL MEDIA FOUNDATIONS,BTech-Information Technology,BTech
CYBERSECURITY AT WORK,BTech-Information Technology,BTech
DESIGN THINKING - DATA INTELLIGENCE,BTech-Mechanical Engineering,BTech
DISCOVERING YOUR STRENGTHS,BTech-Mechanical Engineering,BTech
"DATA MANAGEMENT, PROTECTION AND GOVERNANCE",BTech-Instrumentation and Control Engineering,BTech
"DATA MANAGEMENT, PROTECTION AND GOVERNANCE",BTech-Information Technology,BTech
"DATA MANAGEMENT, PROTECTION AND GOVERNANCE",BTech-Electronics and Telecommunication Engg,BTech
"DATA MANAGEMENT, PROTECTION AND GOVERNANCE",BTech-Artificial Intelligence and Data Science,BTech
ENTERPRISE RESOURCE PLANNING SYSTEMS,BTech-Mechanical Engineering,BTech
ENTERPRISE RESOURCE PLANNING SYSTEMS,BTech-Industrial Engineering,BTech
ENTERPRISE RESOURCE PLANNING SYSTEMS,BTech-Production Engineering,BTech
SERVICES MANAGEMENT,BTech-Mechanical Engineering,BTech
SERVICES MANAGEMENT,BTech-Industrial Engineering,BTech
SERVICES MANAGEMENT,BTech-Production Engineering,BTech
PROJECT INTERNSHIP,BTech-Computer Engineering,BTech
CAPSTONE PROJECT,BTech-Mechanical Engineering,BTech
CAPSTONE PROJECT-INTERNATIONAL,BTech-Mechanical Engineering,BTech
RESEARCH INTERNSHIP,BTech-Industrial Engineering,BTech
DESIGN THINKING 2,DESH-DESH,FY
INDIAN DEMOCRACY AND CONSTITUTION,DESH-DESH,FY
ENGINEERING DESIGN AND DEVELOPMENT 1,BTech-Mechanical Engineering,BTech
ENGINEERING DESIGN AND DEVELOPMENT 1,BTech-Mechanical Engineering,SY
ENGINEERING DESIGN AND INNOVATION 1,BTech-Electronics Engineering,BTech
ENGINEERING DESIGN AND INNOVATION 2,BTech-Electronics Engineering,BTech
ENGINEERING DESIGN AND INNOVATION 1,BTech-Mechanical Engineering,TY
INDUSTRIAL TRIBOLOGY,MTech-Mechanical Engineering(Design),FY
GENETIC ALGORITHMS,MTech-Computer Science and Engineering,FY
INTERNET OF THINGS,MTech-Computer Science and Engineering,FY
NATURAL LANGUAGE PROCESSING,MTech-Computer Science and Engineering,FY
DESIGN THINKING - 3,BTech-Mechanical Engineering,SY
DESIGN THINKING - 3,BTech-Computer Engineering,SY
ENGINEERING DESIGN AND INNOVATION - 1,BTech-Computer Engineering,SY
DESIGN THINKING - 3,BTech-Information Technology,SY
DESIGN THINKING - 3,BTech-Instrumentation and Control Engineering,SY
ENGINEERING DESIGN AND INNOVATION - 1,BTech-Instrumentation and Control Engineering,SY
DESIGN THINKING - 3,BTech-Artificial Intelligence and Data Science,SY
DESIGN THINKING - 3,BTech-Chemical Engineering,SY
ENGINEERING DESIGN AND INNOVATION - 1,BTech-Chemical Engineering,SY
DESIGN THINKING - 3,BTech-Electronics and Telecommunication Engg,SY
CHEMICAL PROCESSES,BTech-Chemical Engineering,SY
DESIGN THINKING - 1,BTech-Instrumentation and Control Engineering,TY
DESIGN THINKING - 1,BTech-Electronics and Telecommunication Engg,TY
DESIGN THINKING - 1,BTech-Production Engineering,TY
ENGINEERING DESIGN & INNOVATION - V,BTech-Production Engineering,TY
DESIGN THINKING - 1,BTech-Chemical Engineering,TY
ENGINEERING DESIGN AND INNOVATION - V,BTech-Chemical Engineering,TY
Operating System,BTech-Information Technology,TY
DESIGN THINKING - 1,BTech-Information Technology,TY
Operating System,BTech-Computer Engineering,TY
Computer Networks,BTech-Computer Engineering,TY
DESIGN THINKING - 1,BTech-Computer Engineering,TY
ENGINEERING DESIGN AND INNOVATION - V,BTech-Computer Engineering,TY
DESIGN THINKING - 1,BTech-Mechanical Engineering,TY
Artificial Intelligence ,BTech-Artificial Intelligence and Data Science,TY
Operating System,BTech-Artificial Intelligence and Data Science,TY
Statistical Inference,BTech-Artificial Intelligence and Data Science,TY
Machine Learning,BTech-Artificial Intelligence and Data Science,TY
DESIGN THINKING - 1,BTech-Artificial Intelligence and Data Science,TY
ENGINEERING DESIGN AND INNOVATION - V,BTech-Artificial Intelligence and Data Science,TY
DESIGN THINKING,Master of Computer Application-(MCA),SY
CASTING AND JOINING TECHNOLOGIES,BTech-Production Engineering,TY
NETWORK SECURITY,BTech-Electronics and Telecommunication Engg,BTech
NETWORK SECURITY,BTech-Instrumentation and Control Engineering,BTech
Magic XPA/XPI,BTech-Computer Engineering,BTech
Magic XPA/XPI,BTech-Electronics and Telecommunication Engg,BTech
Neural Networks,BTech-Computer Engineering,BTech
Neural Networks,BTech-Electronics and Telecommunication Engg,BTech
Neural Networks,BTech-Instrumentation and Control Engineering,BTech
Neural Networks,BTech-Information Technology,BTech
HUMAN FACTORS ENGINEERING,BTech-Production Engineering,BTech
HUMAN FACTORS ENGINEERING,BTech-Industrial Engineering,BTech
From Campus to Corporate,BTech-Information Technology,BTech
From Campus to Corporate,BTech-Instrumentation and Control Engineering,BTech
MATHEMATICS AND STATISTICS,DESH-DESH,FY
PRODUCT DESIGN AND DEVELOPMENT,DESH-DESH,FY
GENERAL PROFICIENCY,DESH-DESH,FY
DISCRETE MATHEMATICS,DESH-DESH,FY
COMPUTER ORGANIZATION AND ARCHITECTURE,DESH-DESH,FY
PROFESSIONAL DEVELOPMENT,DESH-DESH,FY
ENGINEERING DESIGN AND INNOVATION - V,BTech-Electronics and Telecommunication Engg,TY
ENGINEERING DESIGN AND INNOVATION - V,BTech-Electronics Engineering,TY
ENGINEERING DESIGN AND INNOVATION - 1,BTech-Mechanical Engineering,SY
ENGINEERING DESIGN AND INNOVATION - 1,BTech-Artificial Intelligence and Data Science,SY
DESIGN THINKING - 4,BTech-Electronics and Telecommunication Engg,SY
DESIGN THINKING - 2,BTech-Electronics and Telecommunication Engg,TY
ENGINEERING DESIGN AND INNOVATION - 2,BTech-Electronics and Telecommunication Engg,SY
DESIGN THINKING - 4,BTech-Computer Engineering,SY
ENGINEERING DESIGN AND INNOVATION - 2,BTech-Computer Engineering,SY
DESIGN THINKING - 2,BTech-Computer Engineering,TY
DESIGN THINKING - 2,BTech-Production Engineering,TY
DESIGN THINKING - 4,BTech-Chemical Engineering,SY
ENGINEERING DESIGN AND INNOVATION - 2,BTech-Chemical Engineering,SY
DESIGN THINKING - 2,BTech-Chemical Engineering,TY
ENGINEERING DESIGN AND INNOVATION - VI,BTech-Chemical Engineering,TY
DESIGN THINKING - 4,BTech-Information Technology,SY
ENGINEERING DESIGN AND INNOVATION - 2,BTech-Information Technology,SY
DESIGN THINKING - 2,BTech-Information Technology,TY
ENGINEERING DESIGN AND INNOVATION - VI,BTech-Information Technology,TY
DESIGN THINKING - 4,BTech-Mechanical Engineering,SY
ENGINEERING DESIGN AND INNOVATION - 2,BTech-Mechanical Engineering,SY
DESIGN THINKING - 2,BTech-Mechanical Engineering,TY
ENGINEERING DESIGN AND INNOVATION - VI,BTech-Electronics and Telecommunication Engg,TY
ENGINEERING DESIGN AND INNOVATION - VI,BTech-Computer Engineering,TY
ENGINEERING DESIGN AND INNOVATION - VI,BTech-Production Engineering,TY
DESIGN THINKING - 4,BTech-Instrumentation and Control Engineering,SY
ENGINEERING DESIGN AND INNOVATION - 2,BTech-Instrumentation and Control Engineering,SY
DESIGN THINKING - 2,BTech-Instrumentation and Control Engineering,TY
ENGINEERING DESIGN AND INNOVATION - VI,BTech-Instrumentation and Control Engineering,TY
DESIGN THINKING - 4,BTech-Artificial Intelligence and Data Science,SY
ENGINEERING DESIGN AND INNOVATION - 2,BTech-Artificial Intelligence and Data Science,SY
DESIGN THINKING - 2,BTech-Artificial Intelligence and Data Science,TY
ENGINEERING DESIGN AND INNOVATION - VI,BTech-Artificial Intelligence and Data Science,TY
FORMING TECHNOLOGIES AND TOOL DESIGN,BTech-Production Engineering,TY
 Cloud Computing,BTech-Artificial Intelligence and Data Science,TY
Deep learning,BTech-Artificial Intelligence and Data Science,TY
Complexity Algorithms,BTech-Artificial Intelligence and Data Science,TY
Software Design and Methodologies,BTech-Artificial Intelligence and Data Science,TY
CLOUD COMPUTING,BTech-Computer Engineering,TY
Design Thinking,Master of Computer Application-(MCA),SY
Industry Internship,Master of Computer Application-(MCA),SY
BLOCKCHAIN TECHNOLOGY,BTech-Electronics and Telecommunication Engg,BTech
BLOCKCHAIN TECHNOLOGY,BTech-Computer Engineering,BTech
BLOCKCHAIN TECHNOLOGY,BTech-Information Technology,BTech
DATA ANALYTICS,MTech-Computer Science and Engineering,FY
SEMINAR,Master of Computer Application-(MCA),TY
PROBABILITY AND CALCULUS,BTech-Artificial Intelligence and Data Science,SY
AUTOMATA THEORY,BTech-Artificial Intelligence and Data Science,SY
SIGNALS AND SYSTEMS,BTech-Electronics and Telecommunication Engg,SY
NETWORK THEORY,BTech-Electronics and Telecommunication Engg,SY
DATA STRUCTURES,DESH-DESH,FY
DESIGN THINKING - 5,BTech-Artificial Intelligence and Data Science,TY
ENGINEERING DESIGN AND INNOVATION - 3,BTech-Artificial Intelligence and Data Science,TY
DESIGN THINKING - 5,BTech-Information Technology,TY
ENGINEERING DESIGN AND INNOVATION - 3,BTech-Information Technology,TY
DESIGN THINKING - 5,BTech-Chemical Engineering,TY
ENGINEERING DESIGN AND INNOVATION - 3,BTech-Chemical Engineering,TY
MAJOR PROJECT,BTech-Artificial Intelligence and Data Science,BTech
DESIGN THINKING - 5,BTech-Instrumentation and Control Engineering,TY
ENGINEERING DESIGN AND INNOVATION - 3,BTech-Instrumentation and Control Engineering,TY
DESIGN THINKING - 6,BTech-Instrumentation and Control Engineering,TY
ENGINEERING DESIGN AND INNOVATION - 4,BTech-Instrumentation and Control Engineering,TY
DESIGN THINKING - 5,BTech-Electronics and Telecommunication Engg,TY
DESIGN THINKING - 5,BTech-Electronics Engineering,TY
ENGINEERING DESIGN AND INNOVATION - 3,BTech-Electronics and Telecommunication Engg,TY
ENGINEERING DESIGN AND INNOVATION - 3,BTech-Electronics Engineering,TY
DESIGN THINKING - 5,BTech-Computer Engineering,TY
ENGINEERING DESIGN AND INNOVATION - 3,BTech-Computer Engineering,TY
DESIGN THINKING - 5,BTech-Mechanical Engineering,TY
ENGINEERING DESIGN AND INNOVATION - 3,BTech-Mechanical Engineering,TY
SOFTWARE DESIGN AND MODELING,BTech-Computer Engineering,TY
ENGINEERING DESIGN AND INNOVATION - III,BTech-Artificial Intelligence and Data Science,SY
ENGINEERING DESIGN AND INNOVATION - III,BTech-Computer Engineering,SY
ENGINEERING DESIGN AND INNOVATION - III,BTech-Chemical Engineering,SY
ENGINEERING DESIGN AND INNOVATION - III,BTech-Electronics and Telecommunication Engg,SY
ENGINEERING DESIGN AND INNOVATION - III,BTech-Information Technology,SY
PRINCIPLES OF PROGRAMMING LANGUAGES,BTech-Computer Engineering,SY
MICROPROCESSOR AND MICROCONTROLLER,BTech-Computer Engineering,SY
COMPUTER GRAPHICS AND VIRTUAL REALITY,BTech-Computer Engineering,SY
CHEMICAL ENGINEERING MATHEMATICS,BTech-Chemical Engineering,SY
WEB TECHNOLOGY,BTech-Artificial Intelligence and Data Science,SY
DIGITAL ELECTRONICS AND MICROPROCESSOR,BTech-Artificial Intelligence and Data Science,SY
PROBABILITY AND CALCULUS,BTech-Information Technology,SY
WEB TECHNOLOGY,BTech-Information Technology,SY
DIGITAL ELECTRONICS AND MICROPROCESSOR,BTech-Information Technology,SY
APPLIED ELECTRONICS,BTech-Instrumentation and Control Engineering,SY
SENSORS AND TRANSDUCERS,BTech-Instrumentation and Control Engineering,SY
COMPUTER NETWORK SECURITY,BTech-Electronics and Telecommunication Engg,TY
COMPUTER NETWORK SECURITY,BTech-Electronics Engineering,TY
INDUSTRIAL ELECTRONICS-II,BTech-Instrumentation and Control Engineering,BTech
MACHINE INTELLIGENCE-II,BTech-Instrumentation and Control Engineering,BTech
CLOUD COMPUTING-II,BTech-Computer Engineering,BTech
NETWORK SECURITY-II,BTech-Information Technology,BTech
COMPUTATIONAL FLUID DYNAMICS-II,BTech-Mechanical Engineering,BTech
MECHANICS OF MATERIALS,BTech-Mechanical Engineering,SY
DESIGN THINKING - 3,BTech - Computer Science and Engineering (Artificial Intelligence and Machine Learning),SY
ENGINEERING DESIGN AND INNOVATION - III,BTech - Computer Science and Engineering (Artificial Intelligence and Machine Learning),SY
DATA STRUCTURES,BTech-Computer Science and Engineering (Artificial Intelligence),SY
Artificial Intelligence ,BTech-Computer Science and Engineering (Artificial Intelligence),SY
OPERATING SYSTEMS,BTech-Computer Science and Engineering (Artificial Intelligence),SY
DATA VISUALIAZATION,BTech-Computer Science and Engineering (Artificial Intelligence),SY
THEORY OF COMPUTATION,BTech-Computer Science and Engineering (Artificial Intelligence),SY
DESIGN THINKING - 3,BTech-Computer Science and Engineering (Artificial Intelligence),SY
ENGINEERING DESIGN AND INNOVATION - III,BTech-Computer Science and Engineering (Artificial Intelligence),SY
ADVANCED DATA STRUCTURES,BTech-Computer Engineering,SY
MATHEMATICS FOR AI,BTech - Computer Science and Engineering (Artificial Intelligence and Machine Learning),SY
